Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,7,asymmetric,0.31,0.444305941580253
100% Corpus,7,asymmetric,0.61,0.4260746767688273
100% Corpus,7,asymmetric,0.9099999999999999,0.46583668651054355
100% Corpus,7,asymmetric,symmetric,0.44305202771689317
100% Corpus,8,0.01,0.01,0.4731068892425291
100% Corpus,8,0.01,0.31,0.4635055067240927
100% Corpus,8,0.01,0.61,0.4439671449911032
100% Corpus,8,0.01,0.9099999999999999,0.3816295461134146
100% Corpus,8,0.01,symmetric,0.48083485888610855
100% Corpus,8,0.31,0.01,0.47650157624019973
100% Corpus,8,0.31,0.31,0.4633532408886024
100% Corpus,8,0.31,0.61,0.43308856395155165
100% Corpus,8,0.31,0.9099999999999999,0.44795699942951217
100% Corpus,8,0.31,symmetric,0.4295930896359577
100% Corpus,8,0.61,0.01,0.4536632163347674
100% Corpus,8,0.61,0.31,0.41241021303662173
100% Corpus,8,0.61,0.61,0.40523826300620075
100% Corpus,8,0.61,0.9099999999999999,0.4568451587707495
100% Corpus,8,0.61,symmetric,0.4189221073084277
100% Corpus,8,0.9099999999999999,0.01,0.4498870721189306
100% Corpus,8,0.9099999999999999,0.31,0.42455076839485545
100% Corpus,8,0.9099999999999999,0.61,0.4224096010374816
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.43209294801588155
100% Corpus,8,0.9099999999999999,symmetric,0.46090599530499193
100% Corpus,8,symmetric,0.01,0.4793414573518248
100% Corpus,8,symmetric,0.31,0.45944195777040536
100% Corpus,8,symmetric,0.61,0.4620852843199891
100% Corpus,8,symmetric,0.9099999999999999,0.4150308181970267
100% Corpus,8,symmetric,symmetric,0.4822515943979865
100% Corpus,8,asymmetric,0.01,0.4653944097203612
100% Corpus,8,asymmetric,0.31,0.44456372732280325
100% Corpus,8,asymmetric,0.61,0.4316352992243363
100% Corpus,8,asymmetric,0.9099999999999999,0.4452796788292842
100% Corpus,8,asymmetric,symmetric,0.44266168085723134
100% Corpus,9,0.01,0.01,0.47416919186768397
100% Corpus,9,0.01,0.31,0.4667675632815637
100% Corpus,9,0.01,0.61,0.445552115555025
100% Corpus,9,0.01,0.9099999999999999,0.3968793314429832
100% Corpus,9,0.01,symmetric,0.46350197364518875
